font,ascent-override,descent-override,line-gap-override
"/apache/tinos/Tinos-Regular.ttf",varies by OS,varies by OS,varies by OS
"/apache/ultra/Ultra-Regular.ttf",1.008789063,0.2739257813,0
"/apache/unkempt/Unkempt-Bold.ttf",0.9541015625,0.240234375,0
"/apache/unkempt/Unkempt-Regular.ttf",varies by OS,varies by OS,varies by OS
"/apache/walterturncoat/WalterTurncoat-Regular.ttf",varies by OS,varies by OS,varies by OS
"/apache/yellowtail/Yellowtail-Regular.ttf",varies by OS,varies by OS,varies by OS
"/ofl/abeezee/ABeeZee-Italic.ttf",0.92,0.262,0
"/ofl/abeezee/ABeeZee-Regular.ttf",0.92,0.262,0
"/ofl/abel/Abel-Regular.ttf",0.9794921875,0.294921875,0
"/ofl/abhayalibre/AbhayaLibre-Bold.ttf",0.83984375,0.33984375,0
"/ofl/abhayalibre/AbhayaLibre-ExtraBold.ttf",0.83984375,0.33984375,0
"/ofl/abhayalibre/AbhayaLibre-Medium.ttf",0.83984375,0.33984375,0
"/ofl/abhayalibre/AbhayaLibre-Regular.ttf",0.83984375,0.33984375,0
"/ofl/abhayalibre/AbhayaLibre-SemiBold.ttf",0.83984375,0.33984375,0
"/ofl/abrilfatface/AbrilFatface-Regular.ttf",1.058,0.291,0
"/ofl/abyssinicasil/AbyssinicaSIL-Regular.ttf",0.8442382813,0.1557617188,0.25
"/ofl/acme/Acme-Regular.ttf",0.959,0.307,0
"/ofl/actor/Actor-Regular.ttf",0.941,0.262,0
"/ofl/adamina/Adamina-Regular.ttf",1.072,0.29,0
"/ofl/adobeblank/AdobeBlank-Regular.ttf",0.88,0.12,0
"/ofl/adventpro/AdventPro-Bold.ttf",varies by OS,varies by OS,varies by OS
"/ofl/adventpro/AdventPro-ExtraLight.ttf",varies by OS,varies by OS,varies by OS
"/ofl/adventpro/AdventPro-Light.ttf",varies by OS,varies by OS,varies by OS
"/ofl/adventpro/AdventPro-Medium.ttf",varies by OS,varies by OS,varies by OS
"/ofl/adventpro/AdventPro-Regular.ttf",varies by OS,varies by OS,varies by OS
"/ofl/adventpro/AdventPro-SemiBold.ttf",varies by OS,varies by OS,varies by OS
"/ofl/adventpro/AdventPro-Thin.ttf",varies by OS,varies by OS,varies by OS
"/ofl/aguafinascript/AguafinaScript-Regular.ttf",0.966,0.581,0
"/ofl/akayakanadaka/AkayaKanadaka-Regular.ttf",0.92,0.276,0
"/ofl/akayatelivigala/AkayaTelivigala-Regular.ttf",0.92,0.276,0
"/ofl/akronim/Akronim-Regular.ttf",varies by OS,varies by OS,varies by OS
"/ofl/aksarabaligalang/AksaraBaliGalang-Regular.ttf",1.442,1.261,0
"/ofl/akshar/Akshar[wght].ttf",varies by OS,varies by OS,varies by OS
"/ofl/aladin/Aladin-Regular.ttf",0.905,0.321,0
"/ofl/alata/Alata-Regular.ttf",1.1,0.28,0
"/ofl/alatsi/Alatsi-Regular.ttf",1,0.28,0
"/ofl/aldrich/Aldrich-Regular.ttf",varies by OS,varies by OS,varies by OS
"/ofl/alef/Alef-Bold.ttf",1.009277344,0.3525390625,0
"/ofl/alef/Alef-Regular.ttf",1.009277344,0.3525390625,0
"/ofl/alegreya/Alegreya-Italic[wght].ttf",1.016,0.345,0
"/ofl/alegreya/Alegreya[wght].ttf",1.016,0.345,0
"/ofl/alegreyasans/AlegreyaSans-Black.ttf",0.9,0.3,0
